,id,creator_regularized,city,country,lat,lng,languages,lang_count,classification,photo_url
129,71666,nnh245,Abu Dhabi,United Arab Emirates,24.472125,54.38488833,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71666.jpeg
130,71667,nnh245,Abu Dhabi,United Arab Emirates,24.472105,54.384905,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71667.jpeg
131,71668,nnh245,Abu Dhabi,United Arab Emirates,24.46198833,54.30579667,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71668.jpeg
132,71669,nnh245,Philadelphia,United States,39.95393833,-75.189955,['ENG'],1,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71669.jpeg
133,71670,nnh245,Philadelphia,United States,39.95086333,-75.193345,['ENG'],1,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71670.jpeg
134,71673,nnh245,New York,United States,40.70249167,-74.012825,"['ENG', 'SPA']",2,transport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71673.jpeg
135,71674,nnh245,New York,United States,40.71708461,-73.9982022,"['ENG', 'VIE', 'ZHO']",3,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71674.jpeg
136,71675,nnh245,New York,United States,40.78033333,-73.97422,"['ENG', 'SPA', 'ZHO']",3,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71675.jpeg
137,71676,nnh245,New York,United States,40.70386333,-73.99257833,['ENG'],1,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71676.jpeg
138,71677,nnh245,London,United Kingdom,51.50705333,-0.100975,['ENG'],1,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71677.jpeg
139,71678,nnh245,London,United Kingdom,51.52357833,-0.11643617,['ENG'],1,apartments,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71678.jpeg
140,71679,nnh245,Abu Dhabi,United Arab Emirates,24.53289667,54.398955,"['ARA', 'ENG', 'FRA']",3,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71679.jpeg
141,71680,nnh245,Bến Nghé,Vietnam,10.77966333,106.6997,['VIE'],1,historic-worship,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71680.jpeg
142,71681,nnh245,Bến Nghé,Vietnam,10.780845,106.69998,['VIE'],1,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71681.jpeg
143,71682,nnh245,Bến Nghé,Vietnam,10.78050833,106.6995617,['VIE'],1,food,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71682.jpeg
144,71683,nnh245,Bến Nghé,Vietnam,10.78052167,106.69883,['VIE'],1,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71683.jpeg
145,71684,nnh245,Bến Nghé,Vietnam,10.78033833,106.6990283,['VIE'],1,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71684.jpeg
146,71685,nnh245,Phường 2,Vietnam,10.81626333,106.6643217,"['ENG', 'VIE']",2,airport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71685.jpeg
147,71686,nnh245,Incheon,South Korea,37.46805333,126.4373633,"['ENG', 'JPN', 'KOR', 'ZHO']",4,airport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71686.jpeg
148,72495,nnh245,Abu Dhabi,United Arab Emirates,24.48694167,54.360855,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72495.jpeg
149,72496,nnh245,Abu Dhabi,United Arab Emirates,24.485455,54.35750833,['ENG'],1,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72496.jpeg
150,72497,nnh245,Abu Dhabi,United Arab Emirates,24.47121167,54.37168833,['ENG'],1,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72497.jpeg
151,72498,nnh245,Abu Dhabi,United Arab Emirates,24.471095,54.37236333,"['ARA', 'ENG']",2,food,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72498.jpeg
152,72499,nnh245,Abu Dhabi,United Arab Emirates,24.52341333,54.43366667,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72499.jpeg
153,72500,nnh245,Lisboa,Portugal,38.77542791,-9.131147079,"['ENG', 'POR']",2,airport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72500.jpeg
154,72501,nnh245,Tambon Nong Prue,Thailand,13.69159412,100.7502213,"['ENG', 'TAI']",2,airport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72501.jpeg
155,72502,nnh245,Nghia Do,Vietnam,21.0479308,105.8019488,"['ENG', 'VIE']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72502.jpeg
156,72793,nnh245,Abu Dhabi,United Arab Emirates,24.532655,54.39908333,"['ARA', 'ENG', 'FRA']",3,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72793.jpeg
157,72794,nnh245,Thị xã Hương Thủy,Vietnam,16.39945622,107.7005357,['ENG'],1,airport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72794.jpeg
158,72795,nnh245,New York,United States,40.713005,-74.004325,"['ENG', 'LAT']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72795.jpeg
159,72895,nnh245,Abu Dhabi,United Arab Emirates,24.50072833,54.38823333,"['ENG', 'ZHO']",2,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72895.jpeg
160,72896,nnh245,Abu Dhabi,United Arab Emirates,24.50117833,54.38984667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72896.jpeg
161,72897,nnh245,Abu Dhabi,United Arab Emirates,24.50140833,54.38928333,"['ARA', 'ENG']",2,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72897.jpeg
162,72923,nnh245,Abu Dhabi,United Arab Emirates,24.45384067,54.38032497,['ARA'],1,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/72923.jpeg
163,73015,nnh245,Abu Dhabi,United Arab Emirates,24.50116667,54.38971333,['ENG'],1,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73015.jpeg
164,74059,nnh245,Abu Dhabi,United Arab Emirates,24.53903833,54.40738333,"['ENG', 'ITA']",2,food,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74059.jpeg
165,74060,nnh245,Abu Dhabi,United Arab Emirates,24.49197,54.37414167,"['ENG', 'VIE']",2,food,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74060.jpeg
166,71208,?,Abu Dhabi,United Arab Emirates,24.523925,54.43416667,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71208.jpeg
167,71226,alb970,Abu Dhabi,United Arab Emirates,24.5240159,54.43421298,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71226.jpeg
168,71227,alb970,Abu Dhabi,United Arab Emirates,24.5236957,54.43469831,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71227.jpeg
169,73366,alb970,Abu Dhabi,United Arab Emirates,24.44817167,54.367445,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73366.jpeg
170,73368,alb970,Abu Dhabi,United Arab Emirates,24.44869667,54.368105,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73368.jpeg
171,73370,alb970,Abu Dhabi,United Arab Emirates,24.44873667,54.36807167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73370.jpeg
172,73372,alb970,Abu Dhabi,United Arab Emirates,24.44986333,54.36436333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73372.jpeg
173,73373,alb970,Abu Dhabi,United Arab Emirates,24.44993667,54.36441667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73373.jpeg
